Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
G42 8BS,Yes,55.830972,-4.258386,258643,662055,NS586620,1/1/1980 12:00:00 AM,,28,0,0,"Crosshill",0.3,"",""
G42 8BT,Yes,55.831194,-4.257315,258711,662078,NS587620,1/1/1980 12:00:00 AM,,29,13,8,"Crosshill",0.2,"",""
G42 8BU,Yes,55.830891,-4.256417,258766,662042,NS587620,1/1/1980 12:00:00 AM,,27,42,24,"Crosshill",0.3,"",""
G42 8BW,Yes,55.832777,-4.263329,258340,662266,NS583622,1/1/1980 12:00:00 AM,,28,60,24,"Queen's Park (Glasgow)",0.4,"",""
G42 8BX,Yes,55.83131,-4.256154,258784,662088,NS587620,1/1/1980 12:00:00 AM,,28,58,25,"Crosshill",0.2,"",""
G42 8BY,Yes,55.831879,-4.258406,258645,662156,NS586621,1/1/1980 12:00:00 AM,,32,33,22,"Crosshill",0.2,"",""
G42 8BZ,Yes,55.831622,-4.2582,258657,662127,NS586621,1/1/1980 12:00:00 AM,,31,28,17,"Crosshill",0.2,"",""
G42 8DA,Yes,55.831153,-4.262708,258373,662084,NS583620,1/1/1980 12:00:00 AM,,31,0,0,"Crosshill",0.4,"",""
G42 8DD,Yes,55.831924,-4.261363,258460,662167,NS584621,1/1/1980 12:00:00 AM,,30,123,55,"Crosshill",0.3,"",""
G42 8DP,Yes,55.833681,-4.259134,258606,662358,NS586623,1/1/1980 12:00:00 AM,,30,55,10,"Crosshill",0.2,"",""
G42 8DR,Yes,55.832998,-4.257689,258694,662279,NS586622,1/1/1980 12:00:00 AM,,34,33,9,"Crosshill",0.1,"",""
G42 8DS,Yes,55.832831,-4.259452,258583,662264,NS585622,1/1/1980 12:00:00 AM,,34,129,46,"Crosshill",0.2,"",""
G42 8DT,Yes,55.832859,-4.261833,258434,662272,NS584622,1/1/1980 12:00:00 AM,,30,173,55,"Crosshill",0.3,"",""
G42 8DU,No,55.833346,-4.262196,258413,662327,NS584623,9/1/1986 12:00:00 AM,7/1/1992 12:00:00 AM,27,,,"Crosshill",0.3,"",""
G42 8DW,Yes,55.833879,-4.262547,258393,662387,NS583623,1/1/1980 12:00:00 AM,,25,37,15,"Queen's Park (Glasgow)",0.3,"",""
G42 8DX,No,55.833896,-4.262596,258390,662389,NS583623,2/1/1992 12:00:00 AM,12/1/1994 12:00:00 AM,25,,,"Queen's Park (Glasgow)",0.3,"",""
G42 8EA,No,55.834245,-4.259773,258568,662422,NS585624,12/1/1995 12:00:00 AM,6/1/1998 12:00:00 AM,28,,,"Crosshill",0.2,"",""
G42 8EJ,Yes,55.834501,-4.261018,258491,662453,NS584624,1/1/1980 12:00:00 AM,,26,146,34,"Crosshill",0.3,"",""
G42 8EL,Yes,55.833711,-4.257012,258739,662357,NS587623,1/1/1980 12:00:00 AM,,28,104,36,"Crosshill",0.0,"",""
G42 8ES,Yes,55.833456,-4.25623,258787,662327,NS587623,1/1/1980 12:00:00 AM,,29,36,25,"Crosshill",0.0,"",""
G42 8HU,No,55.834212,-4.259596,258579,662418,NS585624,10/1/1992 12:00:00 AM,12/1/1998 12:00:00 AM,28,,,"Crosshill",0.2,"",""
G42 8LA,No,55.834245,-4.259757,258569,662422,NS585624,7/1/1992 12:00:00 AM,2/1/2001 12:00:00 AM,28,,,"Crosshill",0.2,"",""
G42 8LB,No,55.834212,-4.259596,258579,662418,NS585624,5/1/1993 12:00:00 AM,6/1/1998 12:00:00 AM,28,,,"Crosshill",0.2,"",""
G42 8UA,Yes,55.833163,-4.255574,258827,662293,NS588622,1/1/1980 12:00:00 AM,,29,48,29,"Crosshill",0.1,"",""
G42 8UB,Yes,55.832865,-4.255142,258853,662259,NS588622,1/1/1980 12:00:00 AM,,28,55,23,"Crosshill",0.1,"",""
G42 8UD,Yes,55.833019,-4.254592,258888,662275,NS588622,1/1/1980 12:00:00 AM,,27,82,46,"Crosshill",0.1,"",""
G42 8UE,Yes,55.832695,-4.254126,258916,662238,NS589622,1/1/1980 12:00:00 AM,,26,23,7,"Crosshill",0.2,"",""
G42 8UF,Yes,55.83221,-4.253587,258948,662183,NS589621,1/1/1980 12:00:00 AM,,25,70,28,"Crosshill",0.2,"",""
