Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
G51 2DR,No,55.858694,-4.306544,255730,665239,NS557652,7/1/1992 12:00:00 AM,12/1/1994 12:00:00 AM,8,,,"Partick",1.3,"",""
G51 2DS,No,55.856192,-4.300995,256068,664949,NS560649,1/1/2005 12:00:00 AM,5/1/2017 12:00:00 AM,9,,,"Exhibition Centre Glasgow",1.2,"",""
G51 2DT,Yes,55.858516,-4.30599,255764,665218,NS557652,11/1/2011 12:00:00 AM,,8,,,"Partick",1.3,"",""
G51 2DU,Yes,55.858245,-4.303403,255925,665183,NS559651,6/1/1997 12:00:00 AM,,8,54,18,"Exhibition Centre Glasgow",1.3,"",""
G51 2DW,Yes,55.859229,-4.307279,255686,665300,NS556653,2/1/2008 12:00:00 AM,,7,56,23,"Partick",1.2,"",""
G51 2DX,No,55.858754,-4.307666,255660,665248,NS556652,1/1/1980 12:00:00 AM,3/1/2001 12:00:00 AM,7,,,"Partick",1.2,"",""
G51 2DY,No,55.858664,-4.307197,255689,665237,NS556652,1/1/1980 12:00:00 AM,12/1/1999 12:00:00 AM,7,,,"Partick",1.3,"",""
G51 2DZ,No,55.857303,-4.3079,255640,665087,NS556650,1/1/1980 12:00:00 AM,4/1/2009 12:00:00 AM,10,,,"Partick",1.4,"",""
G51 2EA,No,55.85634,-4.30845,255602,664981,NS556649,1/1/1980 12:00:00 AM,3/1/2009 12:00:00 AM,10,,,"Dumbreck",1.4,"",""
G51 2EB,Yes,55.857262,-4.306251,255743,665079,NS557650,1/1/1980 12:00:00 AM,,9,17,6,"Partick",1.4,"",""
G51 2ED,No,55.857263,-4.307658,255655,665082,NS556650,1/1/1980 12:00:00 AM,3/1/2009 12:00:00 AM,10,,,"Partick",1.4,"",""
G51 2EE,No,55.856806,-4.305633,255780,665027,NS557650,1/1/1980 12:00:00 AM,7/1/2008 12:00:00 AM,9,,,"Dumbreck",1.4,"",""
G51 2EF,No,55.856806,-4.305633,255780,665027,NS557650,1/1/1980 12:00:00 AM,6/1/2008 12:00:00 AM,9,,,"Dumbreck",1.4,"",""
G51 2EG,No,55.856269,-4.307918,255635,664972,NS556649,1/1/1980 12:00:00 AM,7/1/2008 12:00:00 AM,10,,,"Dumbreck",1.4,"",""
G51 2EH,No,55.856137,-4.305849,255764,664953,NS557649,1/1/1980 12:00:00 AM,7/1/2008 12:00:00 AM,9,,,"Dumbreck",1.3,"",""
G51 2EJ,No,55.857204,-4.307398,255671,665075,NS556650,1/1/1980 12:00:00 AM,8/1/2010 12:00:00 AM,10,,,"Partick",1.4,"",""
G51 2EL,No,55.856553,-4.306209,255743,665000,NS557650,1/1/1980 12:00:00 AM,7/1/2008 12:00:00 AM,10,,,"Dumbreck",1.4,"",""
G51 2EN,Yes,55.857272,-4.305693,255778,665079,NS557650,3/1/2009 12:00:00 AM,,9,9,8,"Partick",1.4,"",""
G51 2EP,Yes,55.857098,-4.305125,255813,665059,NS558650,1/1/1980 12:00:00 AM,,8,15,6,"Dumbreck",1.4,"",""
G51 2EQ,No,55.856013,-4.306721,255709,664941,NS557649,1/1/1980 12:00:00 AM,7/1/2008 12:00:00 AM,9,,,"Dumbreck",1.3,"",""
G51 2ER,Yes,55.856267,-4.305154,255808,664966,NS558649,1/1/1980 12:00:00 AM,,10,45,23,"Dumbreck",1.3,"",""
G51 2ES,Yes,55.855603,-4.305562,255780,664893,NS557648,1/1/1980 12:00:00 AM,,9,33,24,"Dumbreck",1.2,"",""
G51 2ET,No,55.857928,-4.308576,255600,665158,NS556651,1/1/1980 12:00:00 AM,8/1/2012 12:00:00 AM,8,30,16,"Partick",1.3,"",""
G51 2EU,No,55.857928,-4.308576,255600,665158,NS556651,1/1/1980 12:00:00 AM,8/1/2012 12:00:00 AM,8,25,11,"Partick",1.3,"",""
G51 2EW,Yes,55.85684,-4.304788,255833,665029,NS558650,1/1/1980 12:00:00 AM,,9,84,53,"Dumbreck",1.4,"",""
G51 2EX,No,55.857159,-4.308866,255579,665073,NS555650,1/1/1980 12:00:00 AM,9/1/2012 12:00:00 AM,9,42,23,"Partick",1.4,"",""
G51 2EY,No,55.857159,-4.308866,255579,665073,NS555650,1/1/1980 12:00:00 AM,9/1/2012 12:00:00 AM,9,36,22,"Partick",1.4,"",""
G51 2EZ,Yes,55.855771,-4.30669,255710,664914,NS557649,1/1/1980 12:00:00 AM,,9,,,"Dumbreck",1.3,"",""
G51 2FB,Yes,55.857654,-4.30693,255702,665124,NS557651,7/1/2012 12:00:00 AM,,9,,,"Partick",1.4,"",""
G51 2HB,No,55.856935,-4.309316,255550,665049,NS555650,1/1/1980 12:00:00 AM,11/1/2000 12:00:00 AM,9,,,"Partick",1.4,"",""
G51 2HF,Yes,55.85624,-4.312536,255346,664979,NS553649,6/1/1997 12:00:00 AM,,8,0,0,"Dumbreck",1.5,"",""
G51 2HG,No,55.858269,-4.310034,255510,665199,NS555651,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,6,,,"Partick",1.3,"",""
G51 2HH,No,55.857973,-4.311455,255420,665169,NS554651,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,7,,,"Partick",1.3,"",""
G51 2HJ,No,55.857363,-4.31046,255480,665099,NS554650,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,7,,,"Partick",1.4,"",""
G51 2HL,No,55.857174,-4.310928,255450,665079,NS554650,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,7,,,"Partick",1.4,"",""
G51 2HN,No,55.857336,-4.311896,255390,665099,NS553650,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,7,,,"Partick",1.4,"",""
G51 2HP,No,55.856267,-4.311354,255420,664979,NS554649,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,8,,,"Dumbreck",1.4,"",""
G51 2HQ,No,55.858072,-4.310981,255450,665179,NS554651,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,6,,,"Partick",1.3,"",""
G51 2HR,No,55.856516,-4.312487,255350,665009,NS553650,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,7,,,"Dumbreck",1.5,"",""
G51 2HS,No,55.857614,-4.311434,255420,665129,NS554651,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,7,,,"Partick",1.4,"",""
G51 2HT,No,55.856704,-4.312019,255380,665029,NS553650,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,7,,,"Partick",1.5,"",""
G51 2HU,No,55.855801,-4.312285,255360,664929,NS553649,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,8,,,"Dumbreck",1.4,"",""
G51 2HW,No,55.856546,-4.310891,255450,665009,NS554650,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,8,,,"Dumbreck",1.5,"",""
G51 2HX,No,55.856411,-4.31328,255300,664999,NS553649,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,7,,,"Dumbreck",1.5,"",""
G51 2HY,No,55.85759,-4.312711,255340,665129,NS553651,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,8,,,"Partick",1.4,"",""
G51 2HZ,No,55.857599,-4.312232,255370,665129,NS553651,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,8,,,"Partick",1.4,"",""
G51 2JA,Yes,55.85771,-4.311329,255427,665140,NS554651,10/1/2005 12:00:00 AM,,7,0,0,"Partick",1.4,"",""
G51 2JD,No,55.855703,-4.310793,255453,664915,NS554649,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,9,,,"Dumbreck",1.4,"",""
G51 2JE,Yes,55.855434,-4.310938,255443,664886,NS554648,1/1/1980 12:00:00 AM,,9,0,0,"Dumbreck",1.3,"",""
G51 2JF,No,55.854571,-4.310774,255450,664789,NS554647,8/1/1973 12:00:00 AM,12/1/1995 12:00:00 AM,10,,,"Dumbreck",1.3,"",""
G51 2JG,Yes,55.853264,-4.311894,255375,664646,NS553646,1/1/1980 12:00:00 AM,,13,0,0,"Dumbreck",1.2,"",""
G51 2JJ,No,55.854813,-4.312226,255360,664819,NS553648,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,10,,,"Dumbreck",1.3,"",""
G51 2JL,No,55.855703,-4.310793,255453,664915,NS554649,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,9,,,"Dumbreck",1.4,"",""
G51 2JN,No,55.855703,-4.310793,255453,664915,NS554649,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,9,,,"Dumbreck",1.4,"",""
G51 2JP,No,55.85452,-4.313487,255280,664789,NS552647,8/1/1973 12:00:00 AM,6/1/1976 12:00:00 AM,10,,,"Dumbreck",1.3,"",""
G51 2JQ,Yes,55.855187,-4.311643,255398,664860,NS553648,1/1/1980 12:00:00 AM,,9,0,0,"Dumbreck",1.3,"",""
G51 2JR,Yes,55.854823,-4.30948,255532,664815,NS555648,12/1/1999 12:00:00 AM,,11,0,0,"Dumbreck",1.2,"",""
G51 2JS,No,55.854609,-4.313492,255280,664799,NS552647,8/1/1973 12:00:00 AM,9/1/1977 12:00:00 AM,10,,,"Dumbreck",1.3,"",""
G51 2JU,No,55.855738,-4.310843,255450,664919,NS554649,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,9,,,"Dumbreck",1.4,"",""
G51 2JW,Yes,55.854918,-4.312106,255368,664831,NS553648,1/1/1980 12:00:00 AM,,9,,,"Dumbreck",1.3,"",""
G51 2JX,No,55.855703,-4.310793,255453,664915,NS554649,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,9,,,"Dumbreck",1.4,"",""
G51 2JY,No,55.855738,-4.310843,255450,664919,NS554649,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,9,,,"Dumbreck",1.4,"",""
G51 2JZ,No,55.854813,-4.312226,255360,664819,NS553648,1/1/1985 12:00:00 AM,7/1/1992 12:00:00 AM,10,,,"Dumbreck",1.3,"",""
G51 2LA,Yes,55.850941,-4.309248,255532,664382,NS555643,5/1/2008 12:00:00 AM,,15,37,27,"Dumbreck",0.9,"",""
G51 2LB,Yes,55.85069,-4.307332,255651,664350,NS556643,1/1/1980 12:00:00 AM,,16,52,27,"Dumbreck",0.8,"",""
G51 2LD,Yes,55.850729,-4.308117,255602,664356,NS556643,1/1/1980 12:00:00 AM,,16,70,24,"Dumbreck",0.8,"",""
G51 2LE,Yes,55.851119,-4.307469,255644,664398,NS556643,1/1/1980 12:00:00 AM,,14,71,26,"Dumbreck",0.8,"",""
G51 2LF,Yes,55.850976,-4.305975,255737,664379,NS557643,1/1/1980 12:00:00 AM,,13,75,48,"Dumbreck",0.8,"",""
G51 2LH,Yes,55.863773,-4.308891,255602,665809,NS556658,1/1/1980 12:00:00 AM,,5,40,15,"Partick",0.7,"",""
G51 2LJ,Yes,55.86311,-4.308819,255604,665735,NS556657,1/1/1980 12:00:00 AM,,7,79,69,"Partick",0.8,"",""
G51 2LL,Yes,55.861961,-4.307297,255695,665604,NS556656,1/1/1980 12:00:00 AM,,8,92,54,"Partick",0.9,"",""
G51 2LN,Yes,55.862544,-4.308802,255603,665672,NS556656,1/1/1980 12:00:00 AM,,8,83,44,"Partick",0.8,"",""
G51 2LP,Yes,55.862399,-4.305997,255778,665650,NS557656,1/1/1980 12:00:00 AM,,8,148,70,"Partick",0.9,"",""
G51 2LS,Yes,55.862187,-4.304817,255851,665624,NS558656,1/1/1980 12:00:00 AM,,7,114,55,"Partick",0.9,"",""
G51 2LU,Yes,55.853999,-4.311732,255388,664728,NS553647,1/1/1980 12:00:00 AM,,11,,,"Dumbreck",1.2,"",""
G51 2LW,Yes,55.862754,-4.307184,255705,665692,NS557656,1/1/1980 12:00:00 AM,,9,68,38,"Partick",0.8,"",""
G51 2LY,Yes,55.856734,-4.30133,256049,665010,NS560650,8/1/1983 12:00:00 AM,,9,7,2,"Exhibition Centre Glasgow",1.2,"",""
G51 2NA,Yes,55.857607,-4.301766,256025,665108,NS560651,3/1/1981 12:00:00 AM,,8,74,49,"Exhibition Centre Glasgow",1.2,"",""
G51 2NG,Yes,55.858531,-4.299455,256173,665206,NS561652,12/1/1981 12:00:00 AM,,7,57,40,"Exhibition Centre Glasgow",1.0,"",""
G51 2NH,Yes,55.858669,-4.300694,256096,665224,NS560652,12/1/1981 12:00:00 AM,,8,96,44,"Exhibition Centre Glasgow",1.1,"",""
G51 2NL,No,55.856192,-4.300995,256068,664949,NS560649,12/1/1998 12:00:00 AM,5/1/2017 12:00:00 AM,9,,,"Exhibition Centre Glasgow",1.2,"",""
G51 2NN,No,55.854533,-4.306553,255714,664776,NS557647,12/1/1990 12:00:00 AM,5/1/2017 12:00:00 AM,10,,,"Dumbreck",1.1,"",""
G51 2NQ,No,55.85068,-4.307347,255650,664349,NS556643,1/1/1985 12:00:00 AM,7/1/1992 12:00:00 AM,16,,,"Dumbreck",0.8,"",""
G51 2NT,Yes,55.857776,-4.299906,256142,665123,NS561651,12/1/1981 12:00:00 AM,,8,68,48,"Exhibition Centre Glasgow",1.1,"",""
G51 2NW,Yes,55.858314,-4.300929,256080,665185,NS560651,12/1/1981 12:00:00 AM,,8,76,49,"Exhibition Centre Glasgow",1.1,"",""
G51 2PA,Yes,55.859406,-4.301185,256068,665307,NS560653,4/1/1989 12:00:00 AM,,9,7,6,"Exhibition Centre Glasgow",1.1,"",""
G51 2PB,No,55.859419,-4.301473,256050,665309,NS560653,8/1/1973 12:00:00 AM,12/1/1977 12:00:00 AM,9,,,"Exhibition Centre Glasgow",1.1,"",""
G51 2PD,No,55.859167,-4.3005,256110,665279,NS561652,8/1/1973 12:00:00 AM,2/1/1980 12:00:00 AM,7,,,"Exhibition Centre Glasgow",1.1,"",""
G51 2PE,No,55.859077,-4.300494,256110,665269,NS561652,8/1/1973 12:00:00 AM,12/1/1977 12:00:00 AM,7,,,"Exhibition Centre Glasgow",1.1,"",""
G51 2PF,No,55.858988,-4.300489,256110,665259,NS561652,8/1/1973 12:00:00 AM,12/1/1977 12:00:00 AM,7,,,"Exhibition Centre Glasgow",1.1,"",""
G51 2PG,No,55.858898,-4.300484,256110,665249,NS561652,8/1/1973 12:00:00 AM,12/1/1977 12:00:00 AM,8,,,"Exhibition Centre Glasgow",1.1,"",""
G51 2PH,No,55.858808,-4.300478,256110,665239,NS561652,8/1/1973 12:00:00 AM,12/1/1977 12:00:00 AM,8,,,"Exhibition Centre Glasgow",1.1,"",""
G51 2PJ,No,55.858718,-4.300473,256110,665229,NS561652,8/1/1973 12:00:00 AM,12/1/1977 12:00:00 AM,8,,,"Exhibition Centre Glasgow",1.1,"",""
G51 2PL,No,55.85771,-4.306326,255740,665129,NS557651,8/1/1973 12:00:00 AM,6/1/1976 12:00:00 AM,8,,,"Partick",1.4,"",""
G51 2PN,No,55.8578,-4.306331,255740,665139,NS557651,8/1/1973 12:00:00 AM,6/1/1976 12:00:00 AM,8,,,"Partick",1.4,"",""
G51 2PQ,No,55.858629,-4.300468,256110,665219,NS561652,8/1/1973 12:00:00 AM,12/1/1977 12:00:00 AM,8,,,"Exhibition Centre Glasgow",1.1,"",""
G51 2PT,Yes,55.858732,-4.307889,255646,665246,NS556652,3/1/2008 12:00:00 AM,,7,71,23,"Partick",1.2,"",""
G51 2PU,Yes,55.85829,-4.307479,255670,665196,NS556651,11/1/2007 12:00:00 AM,,7,19,13,"Partick",1.3,"",""
G51 2PW,No,55.857329,-4.299784,256148,665073,NS561650,6/1/2001 12:00:00 AM,5/1/2018 12:00:00 AM,9,0,0,"Exhibition Centre Glasgow",1.1,"",""
G51 2PX,Yes,55.857474,-4.305481,255792,665101,NS557651,1/1/1980 12:00:00 AM,,8,24,20,"Partick",1.4,"",""
G51 2PY,No,55.858232,-4.30722,255686,665189,NS556651,1/1/1980 12:00:00 AM,12/1/1999 12:00:00 AM,8,,,"Partick",1.3,"",""
G51 2PZ,Yes,55.857765,-4.305306,255804,665133,NS558651,6/1/2001 12:00:00 AM,,7,58,22,"Partick",1.4,"",""
G51 2QA,Yes,55.857032,-4.303649,255905,665048,NS559650,1/1/1980 12:00:00 AM,,8,72,38,"Exhibition Centre Glasgow",1.3,"",""
G51 2QB,No,55.85757,-4.303745,255901,665108,NS559651,6/1/1996 12:00:00 AM,7/1/1997 12:00:00 AM,8,,,"Exhibition Centre Glasgow",1.3,"",""
G51 2QD,Yes,55.858003,-4.303611,255911,665156,NS559651,1/1/1980 12:00:00 AM,,7,75,16,"Exhibition Centre Glasgow",1.3,"",""
G51 2QE,Yes,55.858484,-4.304552,255854,665212,NS558652,12/1/1996 12:00:00 AM,,7,,,"Partick",1.3,"",""
G51 2QF,Yes,55.857166,-4.302267,255992,665060,NS559650,3/1/1981 12:00:00 AM,,8,7,2,"Exhibition Centre Glasgow",1.3,"",""
G51 2QG,Yes,55.857962,-4.304871,255832,665154,NS558651,1/1/1980 12:00:00 AM,,7,15,7,"Partick",1.3,"",""
G51 2QJ,Yes,55.856696,-4.300179,256121,665004,NS561650,10/1/2008 12:00:00 AM,,10,0,0,"Exhibition Centre Glasgow",1.2,"",""
G51 2QL,Yes,55.858928,-4.305599,255790,665263,NS557652,11/1/2011 12:00:00 AM,,8,,,"Partick",1.2,"",""
G51 2QN,Yes,55.856556,-4.302215,255993,664992,NS559649,1/1/1980 12:00:00 AM,,8,74,36,"Exhibition Centre Glasgow",1.3,"",""
G51 2QR,No,55.855265,-4.302506,255970,664849,NS559648,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,8,,,"Dumbreck",1.2,"",""
G51 2QS,No,55.855265,-4.302506,255970,664849,NS559648,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,8,,,"Dumbreck",1.2,"",""
