Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
G31 2HW,Yes,55.858983,-4.226502,260740,665107,NS607651,9/1/1981 12:00:00 AM,,28,58,47,"Bellgrove",0.3,"",""
G31 2HX,Yes,55.859844,-4.22283,260973,665196,NS609651,1/1/1980 12:00:00 AM,,43,39,17,"Bellgrove",0.4,"",""
G31 2HY,Yes,55.860225,-4.223936,260905,665240,NS609652,1/1/1980 12:00:00 AM,,44,36,12,"Bellgrove",0.4,"",""
G31 2HZ,Yes,55.860326,-4.223287,260946,665250,NS609652,1/1/1980 12:00:00 AM,,45,16,6,"Bellgrove",0.4,"",""
G31 2JA,Yes,55.860686,-4.22278,260979,665289,NS609652,1/1/1980 12:00:00 AM,,46,27,10,"Bellgrove",0.5,"",""
G31 2JB,Yes,55.861403,-4.222885,260975,665369,NS609653,1/1/1980 12:00:00 AM,,46,29,12,"Bellgrove",0.5,"",""
G31 2JD,Yes,55.861756,-4.224247,260891,665411,NS608654,1/1/1980 12:00:00 AM,,45,9,3,"Bellgrove",0.6,"",""
G31 2JE,Yes,55.861886,-4.22304,260967,665423,NS609654,1/1/1980 12:00:00 AM,,48,40,20,"Bellgrove",0.6,"",""
G31 2JF,Yes,55.862599,-4.223832,260920,665504,NS609655,1/1/1980 12:00:00 AM,,48,43,19,"Bellgrove",0.7,"",""
G31 2JG,No,55.862225,-4.223683,260928,665462,NS609654,1/1/1980 12:00:00 AM,3/1/2004 12:00:00 AM,48,,,"Bellgrove",0.6,"",""
G31 2JH,Yes,55.861842,-4.225946,260785,665424,NS607654,1/1/1980 12:00:00 AM,,42,52,20,"Bellgrove",0.6,"",""
G31 2JJ,Yes,55.862411,-4.22478,260860,665485,NS608654,1/1/1980 12:00:00 AM,,45,20,9,"Bellgrove",0.6,"",""
G31 2JL,Yes,55.863033,-4.223202,260961,665551,NS609655,1/1/1980 12:00:00 AM,,50,1,1,"Bellgrove",0.7,"",""
G31 2JN,Yes,55.862138,-4.225004,260845,665455,NS608654,1/1/1980 12:00:00 AM,,45,8,4,"Bellgrove",0.6,"",""
G31 2JP,No,55.862436,-4.225421,260820,665489,NS608654,1/1/1980 12:00:00 AM,2/1/1995 12:00:00 AM,44,,,"Bellgrove",0.6,"",""
G31 2JQ,Yes,55.862168,-4.223554,260936,665456,NS609654,1/1/1980 12:00:00 AM,,46,7,1,"Bellgrove",0.6,"",""
G31 2JR,No,55.862466,-4.226206,260771,665494,NS607654,1/1/1980 12:00:00 AM,4/1/2013 12:00:00 AM,43,0,0,"Bellgrove",0.6,"",""
G31 2JS,Yes,55.861709,-4.226849,260728,665411,NS607654,1/1/1980 12:00:00 AM,,40,48,31,"Bellgrove",0.6,"",""
G31 2JW,Yes,55.862519,-4.225266,260830,665498,NS608654,1/1/1980 12:00:00 AM,,44,2,1,"Bellgrove",0.6,"",""
G31 2JY,No,55.860641,-4.222777,260979,665284,NS609652,12/1/1995 12:00:00 AM,12/1/1996 12:00:00 AM,46,,,"Bellgrove",0.4,"",""
G31 2JZ,No,55.860641,-4.222777,260979,665284,NS609652,6/1/1996 12:00:00 AM,12/1/1996 12:00:00 AM,46,,,"Bellgrove",0.4,"",""
