Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
G11 7PE,Yes,55.874602,-4.317591,255098,667032,NS550670,1/1/1980 12:00:00 AM,,35,56,44,"Hyndland",0.6,"",""
G11 7PF,Yes,55.874989,-4.31755,255102,667075,NS551670,1/1/1980 12:00:00 AM,,32,39,31,"Hyndland",0.6,"",""
G11 7PG,Yes,55.873861,-4.317771,255084,666950,NS550669,1/1/1980 12:00:00 AM,,36,49,35,"Hyndland",0.7,"",""
G11 7PH,Yes,55.873645,-4.318285,255051,666927,NS550669,1/1/1980 12:00:00 AM,,36,31,14,"Hyndland",0.7,"",""
G11 7PJ,Yes,55.873859,-4.318826,255018,666952,NS550669,1/1/1980 12:00:00 AM,,37,61,30,"Hyndland",0.7,"",""
G11 7PL,Yes,55.87425,-4.321168,254873,667001,NS548670,1/1/1980 12:00:00 AM,,36,20,17,"Hyndland",0.7,"",""
G11 7PN,Yes,55.874445,-4.320635,254907,667021,NS549670,1/1/1980 12:00:00 AM,,38,41,34,"Hyndland",0.7,"",""
G11 7PP,Yes,55.874668,-4.318826,255021,667042,NS550670,1/1/1980 12:00:00 AM,,37,67,43,"Hyndland",0.6,"",""
G11 7PQ,Yes,55.873446,-4.317842,255078,666904,NS550669,1/1/1980 12:00:00 AM,,35,29,24,"Partick",0.7,"",""
G11 7PR,Yes,55.875323,-4.318913,255018,667115,NS550671,1/1/1980 12:00:00 AM,,32,12,9,"Hyndland",0.6,"",""
G11 7PS,Yes,55.874607,-4.31967,254968,667037,NS549670,1/1/1980 12:00:00 AM,,38,24,15,"Hyndland",0.7,"",""
G11 7PT,Yes,55.874289,-4.318899,255015,667000,NS550670,1/1/1980 12:00:00 AM,,38,41,23,"Hyndland",0.7,"",""
G11 7PU,Yes,55.874385,-4.318138,255063,667009,NS550670,1/1/1980 12:00:00 AM,,38,33,16,"Hyndland",0.6,"",""
G11 7PW,Yes,55.874808,-4.320465,254919,667061,NS549670,1/1/1980 12:00:00 AM,,38,45,36,"Hyndland",0.7,"",""
G11 7PX,Yes,55.875187,-4.317978,255076,667098,NS550670,1/1/1980 12:00:00 AM,,31,11,8,"Hyndland",0.5,"",""
G11 7PY,Yes,55.875359,-4.318435,255048,667118,NS550671,1/1/1980 12:00:00 AM,,31,55,36,"Hyndland",0.5,"",""
G11 7PZ,Yes,55.875543,-4.319598,254976,667141,NS549671,1/1/1980 12:00:00 AM,,31,0,0,"Hyndland",0.6,"",""
G11 7QA,Yes,55.875405,-4.320277,254933,667127,NS549671,4/1/1989 12:00:00 AM,,35,0,0,"Hyndland",0.6,"",""
G11 7QB,Yes,55.875708,-4.320854,254898,667162,NS548671,1/1/1980 12:00:00 AM,,32,17,5,"Hyndland",0.6,"",""
G11 7QD,Yes,55.875446,-4.320967,254890,667133,NS548671,1/1/1980 12:00:00 AM,,35,24,8,"Hyndland",0.6,"",""
G11 7QE,No,55.875405,-4.320277,254933,667127,NS549671,12/1/1995 12:00:00 AM,12/1/1995 12:00:00 AM,35,,,"Hyndland",0.6,"",""
G11 7QG,Yes,55.876876,-4.314705,255287,667279,NS552672,12/1/1983 12:00:00 AM,,17,30,24,"Hyndland",0.3,"",""
G11 7QH,No,55.875405,-4.320277,254933,667127,NS549671,5/1/1993 12:00:00 AM,12/1/1998 12:00:00 AM,35,,,"Hyndland",0.6,"",""
G11 7QJ,Yes,55.875515,-4.314432,255299,667127,NS552671,12/1/1983 12:00:00 AM,,18,41,27,"Hyndland",0.5,"",""
G11 7QL,No,55.875405,-4.320277,254933,667127,NS549671,12/1/1995 12:00:00 AM,12/1/1998 12:00:00 AM,35,,,"Hyndland",0.6,"",""
G11 7QN,Yes,55.875992,-4.314844,255275,667181,NS552671,12/1/1983 12:00:00 AM,,18,23,15,"Hyndland",0.4,"",""
G11 7QP,Yes,55.87498,-4.314192,255312,667067,NS553670,12/1/1983 12:00:00 AM,,19,28,13,"Hyndland",0.5,"",""
G11 7QQ,Yes,55.875153,-4.315018,255261,667088,NS552670,12/1/1983 12:00:00 AM,,21,31,23,"Hyndland",0.5,"",""
G11 7QR,Yes,55.873422,-4.314835,255266,666895,NS552668,1/1/1980 12:00:00 AM,,24,60,20,"Partick",0.5,"",""
G11 7QS,Yes,55.873097,-4.315584,255218,666861,NS552668,1/1/1980 12:00:00 AM,,26,24,16,"Partick",0.6,"",""
G11 7QT,Yes,55.873002,-4.316648,255151,666852,NS551668,1/1/1980 12:00:00 AM,,30,50,48,"Partick",0.6,"",""
G11 7QU,Yes,55.873002,-4.316648,255151,666852,NS551668,1/1/1980 12:00:00 AM,,30,42,41,"Partick",0.6,"",""
G11 7QX,Yes,55.873113,-4.317584,255093,666867,NS550668,1/1/1980 12:00:00 AM,,33,37,24,"Partick",0.7,"",""
G11 7QY,Yes,55.872707,-4.317958,255068,666822,NS550668,1/1/1980 12:00:00 AM,,29,80,55,"Partick",0.7,"",""
G11 7QZ,Yes,55.872741,-4.319494,254972,666829,NS549668,1/1/1980 12:00:00 AM,,27,77,32,"Partick",0.7,"",""
G11 7RA,Yes,55.873133,-4.319709,254960,666873,NS549668,1/1/1980 12:00:00 AM,,30,93,39,"Partick",0.8,"",""
G11 7RB,Yes,55.873433,-4.319024,255004,666905,NS550669,1/1/1980 12:00:00 AM,,34,74,36,"Partick",0.7,"",""
G11 7RD,Yes,55.873362,-4.317565,255095,666894,NS550668,1/1/1980 12:00:00 AM,,34,51,35,"Partick",0.7,"",""
G11 7RE,Yes,55.87358,-4.316971,255133,666917,NS551669,1/1/1980 12:00:00 AM,,34,63,52,"Partick",0.7,"",""
G11 7RF,Yes,55.874075,-4.317416,255107,666973,NS551669,1/1/1980 12:00:00 AM,,36,66,59,"Hyndland",0.7,"",""
G11 7RG,No,55.874037,-4.317525,255100,666969,NS551669,2/1/1994 12:00:00 AM,12/1/1996 12:00:00 AM,36,,,"Hyndland",0.7,"",""
G11 7RH,Yes,55.873608,-4.316445,255166,666919,NS551669,6/1/1984 12:00:00 AM,,32,28,19,"Partick",0.6,"",""
G11 7RP,No,55.871421,-4.313213,255360,666669,NS553666,6/1/1986 12:00:00 AM,7/1/1992 12:00:00 AM,12,,,"Partick",0.3,"",""
G11 7RR,No,55.871173,-4.31208,255430,666639,NS554666,12/1/1976 12:00:00 AM,7/1/1992 12:00:00 AM,12,,,"Partick",0.2,"",""
G11 7RS,No,55.873031,-4.313629,255340,666849,NS553668,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,16,,,"Partick",0.5,"",""
G11 7RT,Yes,55.871222,-4.313297,255354,666647,NS553666,1/1/1980 12:00:00 AM,,12,67,36,"Partick",0.3,"",""
G11 7RU,No,55.871135,-4.313644,255332,666638,NS553666,1/1/1980 12:00:00 AM,8/1/2004 12:00:00 AM,11,,,"Partick",0.3,"",""
G11 7RX,Yes,55.871199,-4.311681,255455,666641,NS554666,1/1/1980 12:00:00 AM,,12,139,81,"Partick",0.2,"",""
G11 7RY,Yes,55.872214,-4.312173,255428,666755,NS554667,9/1/1994 12:00:00 AM,,13,0,0,"Partick",0.3,"",""
G11 7RZ,No,55.873093,-4.319403,254979,666868,NS549668,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,30,,,"Partick",0.8,"",""
G11 7SA,No,55.873031,-4.313629,255340,666849,NS553668,1/1/1980 12:00:00 AM,8/1/2003 12:00:00 AM,16,,,"Partick",0.5,"",""
G11 7SB,No,55.872478,-4.313884,255322,666788,NS553667,7/1/1992 12:00:00 AM,6/1/1997 12:00:00 AM,16,,,"Partick",0.4,"",""
G11 7SD,No,55.87266,-4.314246,255300,666809,NS553668,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,18,,,"Partick",0.5,"",""
G11 7SE,No,55.872092,-4.315811,255200,666749,NS552667,8/1/1973 12:00:00 AM,12/1/1976 12:00:00 AM,21,,,"Partick",0.5,"",""
G11 7SF,No,55.872181,-4.315816,255200,666759,NS552667,5/1/1993 12:00:00 AM,12/1/1994 12:00:00 AM,22,,,"Partick",0.5,"",""
G11 7SG,No,55.872478,-4.313884,255322,666788,NS553667,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,16,,,"Partick",0.4,"",""
G11 7SH,Yes,55.872644,-4.313847,255325,666807,NS553668,1/1/1980 12:00:00 AM,,16,115,71,"Partick",0.4,"",""
G11 7SJ,Yes,55.873686,-4.314691,255276,666924,NS552669,1/1/1980 12:00:00 AM,,24,56,19,"Partick",0.6,"",""
G11 7SL,No,55.873121,-4.314114,255310,666860,NS553668,1/1/1980 12:00:00 AM,10/1/2004 12:00:00 AM,19,,,"Partick",0.5,"",""
G11 7SN,Yes,55.872749,-4.315243,255238,666821,NS552668,1/1/1980 12:00:00 AM,,23,82,51,"Partick",0.5,"",""
G11 7SP,Yes,55.872031,-4.3152,255238,666741,NS552667,1/1/1980 12:00:00 AM,,19,66,48,"Partick",0.5,"",""
G11 7SQ,No,55.873121,-4.314114,255310,666860,NS553668,1/1/1980 12:00:00 AM,5/1/2003 12:00:00 AM,19,,,"Partick",0.5,"",""
G11 7SR,Yes,55.872027,-4.314001,255313,666738,NS553667,1/1/1980 12:00:00 AM,,15,70,53,"Partick",0.4,"",""
G11 7SS,Yes,55.871745,-4.314192,255300,666707,NS553667,1/1/1980 12:00:00 AM,,14,91,51,"Partick",0.4,"",""
