Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
G2 6ET,No,55.859548,-4.260572,258610,665239,NS586652,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,24,,,"Glasgow Central",0.2,"",""
G2 6EU,No,55.859186,-4.26071,258600,665199,NS586651,8/1/1973 12:00:00 AM,8/1/1976 12:00:00 AM,21,,,"Glasgow Central",0.2,"",""
G2 6EX,No,55.859548,-4.260572,258610,665239,NS586652,8/1/1973 12:00:00 AM,12/1/1994 12:00:00 AM,24,,,"Glasgow Central",0.2,"",""
G2 6EY,No,55.859548,-4.260572,258610,665239,NS586652,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,24,,,"Glasgow Central",0.2,"",""
G2 6EZ,No,55.860646,-4.25998,258651,665360,NS586653,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,30,,,"Glasgow Central",0.2,"",""
G2 6HA,No,55.860646,-4.25998,258651,665360,NS586653,1/1/2002 12:00:00 AM,3/1/2002 12:00:00 AM,30,,,"Glasgow Central",0.2,"",""
G2 6HB,No,55.860646,-4.25998,258651,665360,NS586653,1/1/2002 12:00:00 AM,3/1/2002 12:00:00 AM,30,,,"Glasgow Central",0.2,"",""
G2 6HD,No,55.859548,-4.260572,258610,665239,NS586652,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,24,,,"Glasgow Central",0.2,"",""
G2 6HE,No,55.860218,-4.261282,258568,665315,NS585653,9/1/2003 12:00:00 AM,4/1/2015 12:00:00 AM,29,,,"Glasgow Central",0.2,"",""
G2 6HF,No,55.861456,-4.26089,258597,665452,NS585654,4/1/2008 12:00:00 AM,11/1/2009 12:00:00 AM,37,,,"Glasgow Central",0.3,"",""
G2 6HG,Yes,55.860012,-4.261238,258570,665292,NS585652,7/1/2010 12:00:00 AM,,28,0,0,"Glasgow Central",0.2,"",""
G2 6HH,No,55.860646,-4.25998,258651,665360,NS586653,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,30,,,"Glasgow Central",0.2,"",""
G2 6HJ,Yes,55.859439,-4.26015,258636,665226,NS586652,8/1/1986 12:00:00 AM,,23,0,0,"Glasgow Central",0.2,"",""
G2 6HL,No,55.859548,-4.260572,258610,665239,NS586652,8/1/1973 12:00:00 AM,12/1/1994 12:00:00 AM,24,,,"Glasgow Central",0.2,"",""
G2 6HP,No,55.860177,-4.260065,258644,665308,NS586653,2/1/1994 12:00:00 AM,6/1/1998 12:00:00 AM,28,,,"Glasgow Central",0.2,"",""
G2 6HQ,Yes,55.860658,-4.261037,258585,665364,NS585653,6/1/1994 12:00:00 AM,,32,0,0,"Glasgow Central",0.2,"",""
G2 6HR,No,55.861384,-4.260918,258595,665444,NS585654,6/1/2000 12:00:00 AM,8/1/2017 12:00:00 AM,36,,,"Glasgow Central",0.3,"",""
G2 6HS,Yes,55.860218,-4.261282,258568,665315,NS585653,1/1/1980 12:00:00 AM,,29,1,0,"Glasgow Central",0.2,"",""
G2 6HT,No,55.861456,-4.26089,258597,665452,NS585654,7/1/2002 12:00:00 AM,7/1/2002 12:00:00 AM,37,,,"Glasgow Central",0.3,"",""
G2 6HU,No,55.868634,-4.241903,259811,666212,NS598662,1/1/2002 12:00:00 AM,3/1/2002 12:00:00 AM,48,,,"Glasgow Queen Street",0.9,"",""
G2 6HW,No,55.860168,-4.260064,258644,665307,NS586653,6/1/1996 12:00:00 AM,6/1/1998 12:00:00 AM,28,,,"Glasgow Central",0.2,"",""
G2 6HX,No,55.860177,-4.260065,258644,665308,NS586653,6/1/1996 12:00:00 AM,6/1/1998 12:00:00 AM,28,,,"Glasgow Central",0.2,"",""
G2 6HY,No,55.860646,-4.25998,258651,665360,NS586653,12/1/1996 12:00:00 AM,6/1/1997 12:00:00 AM,30,,,"Glasgow Central",0.2,"",""
G2 6HZ,No,55.859021,-4.261372,258558,665182,NS585651,1/1/1980 12:00:00 AM,3/1/2013 12:00:00 AM,20,0,0,"Glasgow Central",0.2,"",""
G2 6JA,No,55.859978,-4.259158,258700,665284,NS587652,11/1/2008 12:00:00 AM,4/1/2015 12:00:00 AM,28,0,0,"Glasgow Central",0.1,"",""
G2 6JB,No,55.859966,-4.261283,258567,665287,NS585652,10/1/1992 12:00:00 AM,6/1/1997 12:00:00 AM,28,,,"Glasgow Central",0.2,"",""
